                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.3228,                 1.1603,                 1.6562,                0.73658,                0.80597,                0.79785,                 0.5285,                 1.3926,                 1.0909,                 1.8453,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2982,                  1.152,                 1.6194,                 0.8189,                0.77612,                0.81867,                0.54045,                 1.4214,                 1.0027,                 1.8372,               0.006238,               0.006238,               0.006238
                     78,                 1.2869,                 1.1306,                 1.6081,                0.77236,                0.70896,                0.76322,                0.50025,                 1.4902,                 1.0292,                 1.8805,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3232,                 1.1533,                  1.644,                0.80435,                0.82836,                0.84313,                0.52786,                 1.3723,                0.99207,                 1.8126,               0.006139,               0.006139,               0.006139
                     80,                 1.3088,                 1.1451,                  1.634,                0.69281,                0.79104,                0.75633,                 0.4644,                 1.4018,                 1.1813,                   1.82,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.2987,                 1.1137,                 1.6169,                0.80719,                0.78108,                0.81101,                0.52951,                 1.3974,                 1.0196,                 1.7937,                0.00604,                0.00604,                0.00604
                     82,                 1.2637,                 1.0837,                 1.5809,                 0.8381,                0.65672,                0.76148,                 0.4888,                 1.3592,                 1.0814,                 1.7772,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2933,                 1.1404,                 1.6083,                0.68966,                0.74627,                0.74785,                0.47587,                 1.3582,                 1.1509,                 1.7591,               0.005941,               0.005941,               0.005941
                     84,                 1.2805,                 1.1018,                 1.6072,                 0.8062,                0.77612,                0.82062,                0.50649,                  1.495,                 1.0242,                 1.8598,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2932,                 1.1096,                 1.6133,                 0.7027,                0.77612,                0.73759,                0.45683,                 1.4063,                  1.165,                 1.8447,               0.005842,               0.005842,               0.005842
                     86,                 1.3058,                 1.1065,                  1.612,                0.85615,                0.79104,                 0.8537,                0.55273,                 1.3864,                 0.9867,                 1.8443,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2718,                 1.0628,                 1.5913,                0.72857,                0.76119,                0.76697,                 0.5005,                 1.3389,                 1.0367,                 1.7434,               0.005743,               0.005743,               0.005743
